DisclosedDateTime,Name,NetSales,OperatingProfit,OrdinaryProfit,Profit
2023-07-26 15:00:00+09:00,アドバンテスト,101251000000.0,14269000000.0,,9202000000.0
2023-10-31 15:00:00+09:00,アドバンテスト,217511000000.0,35269000000.0,,25938000000.0
2023-01-31 15:00:00+09:00,アドバンテスト,412799000000.0,129140000000.0,,99806000000.0
2022-10-27 15:00:00+09:00,アドバンテスト,274806000000.0,87916000000.0,,71161000000.0
2024-01-31 15:00:00+09:00,アドバンテスト,350744000000.0,62099000000.0,,47143000000.0
2022-07-28 15:00:00+09:00,アドバンテスト,135943000000.0,44783000000.0,,36496000000.0
2023-04-26 15:00:00+09:00,アドバンテスト,560191000000.0,167687000000.0,,130400000000.0
2022-11-11 15:00:00+09:00,アルバック,56182000000.0,5120000000.0,5245000000.0,4053000000.0
2023-05-12 15:02:00+09:00,アルバック,160959000000.0,12743000000.0,15663000000.0,11756000000.0
2023-11-07 15:00:00+09:00,アルバック,55038000000.0,2831000000.0,2924000000.0,1135000000.0
2023-08-08 15:00:00+09:00,アルバック,227528000000.0,19946000000.0,22880000000.0,14169000000.0
2022-08-09 15:00:00+09:00,アルバック,241260000000.0,30061000000.0,32200000000.0,20211000000.0
2024-02-13 15:00:00+09:00,アルバック,120224000000.0,10313000000.0,10999000000.0,6860000000.0
2023-02-13 15:00:00+09:00,アルバック,111360000000.0,10465000000.0,11779000000.0,9334000000.0
2023-05-11 15:00:00+09:00,サンケン電気,225387000000.0,26156000000.0,27229000000.0,9533000000.0
2023-02-03 15:00:00+09:00,サンケン電気,163273000000.0,16862000000.0,17314000000.0,6453000000.0
2023-11-07 15:00:00+09:00,サンケン電気,121550000000.0,17158000000.0,16745000000.0,4448000000.0
2022-11-04 15:00:00+09:00,サンケン電気,105965000000.0,8196000000.0,8400000000.0,2954000000.0
2024-02-06 15:00:00+09:00,サンケン電気,179828000000.0,21785000000.0,20724000000.0,4482000000.0
2022-08-05 15:00:00+09:00,サンケン電気,49632000000.0,935000000.0,1173000000.0,157000000.0
2023-08-04 15:00:00+09:00,サンケン電気,59906000000.0,8527000000.0,7939000000.0,2229000000.0
2022-10-28 15:00:00+09:00,ソシオネクスト,82767000000.0,10456000000.0,12295000000.0,10013000000.0
2023-01-30 15:00:00+09:00,ソシオネクスト,138841000000.0,16748000000.0,18266000000.0,15246000000.0
2023-04-28 15:00:00+09:00,ソシオネクスト,192767000000.0,21711000000.0,23440000000.0,19763000000.0
2023-07-28 15:00:00+09:00,ソシオネクスト,61447000000.0,10109000000.0,11109000000.0,7952000000.0
2024-01-30 15:00:00+09:00,ソシオネクスト,169638000000.0,27944000000.0,29302000000.0,20300000000.0
2023-10-31 15:00:00+09:00,ソシオネクスト,116988000000.0,18676000000.0,20448000000.0,15293000000.0
2024-02-14 15:00:00+09:00,ソニーグループ,9539802000000.0,979389000000.0,,781568000000.0
2023-02-02 15:00:00+09:00,ソニーグループ,8476287000000.0,1079742000000.0,,808968000000.0
2022-07-29 15:00:00+09:00,ソニーグループ,2311494000000.0,306963000000.0,,218196000000.0
2022-11-01 15:00:00+09:00,ソニーグループ,5063373000000.0,651005000000.0,,482159000000.0
2023-08-09 15:00:00+09:00,ソニーグループ,2963652000000.0,253042000000.0,,217545000000.0
2023-04-28 15:00:00+09:00,ソニーグループ,11539837000000.0,1208206000000.0,,937126000000.0
2023-11-09 15:00:00+09:00,ソニーグループ,5792275000000.0,516051000000.0,,417650000000.0
2023-10-19 16:00:00+09:00,ディスコ,126260000000.0,45009000000.0,46277000000.0,32708000000.0
2023-04-20 16:00:00+09:00,ディスコ,284135000000.0,110413000000.0,112338000000.0,82891000000.0
2024-01-24 16:00:00+09:00,ディスコ,203255000000.0,75363000000.0,75727000000.0,48780000000.0
2023-07-20 16:00:00+09:00,ディスコ,53961000000.0,16972000000.0,18162000000.0,12682000000.0
2022-10-20 16:00:00+09:00,ディスコ,139281000000.0,54870000000.0,57582000000.0,40673000000.0
