DisclosedDate,DisclosedTime,LocalCode,DisclosureNumber,TypeOfDocument,TypeOfCurrentPeriod,CurrentPeriodStartDate,CurrentPeriodEndDate,CurrentFiscalYearStartDate,CurrentFiscalYearEndDate,NextFiscalYearStartDate,NextFiscalYearEndDate,NetSales,OperatingProfit,OrdinaryProfit,Profit,EarningsPerShare,DilutedEarningsPerShare,TotalAssets,Equity,EquityToAssetRatio,BookValuePerShare,CashFlowsFromOperatingActivities,CashFlowsFromInvestingActivities,CashFlowsFromFinancingActivities,CashAndEquivalents,ResultDividendPerShare1stQuarter,ResultDividendPerShare2ndQuarter,ResultDividendPerShare3rdQuarter,ResultDividendPerShareFiscalYearEnd,ResultDividendPerShareAnnual,DistributionsPerUnit(REIT),ResultTotalDividendPaidAnnual,ResultPayoutRatioAnnual,ForecastDividendPerShare1stQuarter,ForecastDividendPerShare2ndQuarter,ForecastDividendPerShare3rdQuarter,ForecastDividendPerShareFiscalYearEnd,ForecastDividendPerShareAnnual,ForecastDistributionsPerUnit(REIT),ForecastTotalDividendPaidAnnual,ForecastPayoutRatioAnnual,NextYearForecastDividendPerShare1stQuarter,NextYearForecastDividendPerShare2ndQuarter,NextYearForecastDividendPerShare3rdQuarter,NextYearForecastDividendPerShareFiscalYearEnd,NextYearForecastDividendPerShareAnnual,NextYearForecastDistributionsPerUnit(REIT),NextYearForecastPayoutRatioAnnual,ForecastNetSales2ndQuarter,ForecastOperatingProfit2ndQuarter,ForecastOrdinaryProfit2ndQuarter,ForecastProfit2ndQuarter,ForecastEarningsPerShare2ndQuarter,NextYearForecastNetSales2ndQuarter,NextYearForecastOperatingProfit2ndQuarter,NextYearForecastOrdinaryProfit2ndQuarter,NextYearForecastProfit2ndQuarter,NextYearForecastEarningsPerShare2ndQuarter,ForecastNetSales,ForecastOperatingProfit,ForecastOrdinaryProfit,ForecastProfit,ForecastEarningsPerShare,NextYearForecastNetSales,NextYearForecastOperatingProfit,NextYearForecastOrdinaryProfit,NextYearForecastProfit,NextYearForecastEarningsPerShare,MaterialChangesInSubsidiaries,ChangesBasedOnRevisionsOfAccountingStandard,ChangesOtherThanOnesBasedOnRevisionsOfAccountingStandard,ChangesInAccountingEstimates,RetrospectiveRestatement,NumberOfIssuedAndOutstandingSharesAtTheEndOfFiscalYearIncludingTreasuryStock,NumberOfTreasuryStockAtTheEndOfFiscalYear,AverageNumberOfShares,NonConsolidatedNetSales,NonConsolidatedOperatingProfit,NonConsolidatedOrdinaryProfit,NonConsolidatedProfit,NonConsolidatedEarningsPerShare,NonConsolidatedTotalAssets,NonConsolidatedEquity,NonConsolidatedEquityToAssetRatio,NonConsolidatedBookValuePerShare,ForecastNonConsolidatedNetSales2ndQuarter,ForecastNonConsolidatedOperatingProfit2ndQuarter,ForecastNonConsolidatedOrdinaryProfit2ndQuarter,ForecastNonConsolidatedProfit2ndQuarter,ForecastNonConsolidatedEarningsPerShare2ndQuarter,NextYearForecastNonConsolidatedNetSales2ndQuarter,NextYearForecastNonConsolidatedOperatingProfit2ndQuarter,NextYearForecastNonConsolidatedOrdinaryProfit2ndQuarter,NextYearForecastNonConsolidatedProfit2ndQuarter,NextYearForecastNonConsolidatedEarningsPerShare2ndQuarter,ForecastNonConsolidatedNetSales,ForecastNonConsolidatedOperatingProfit,ForecastNonConsolidatedOrdinaryProfit,ForecastNonConsolidatedProfit,ForecastNonConsolidatedEarningsPerShare,NextYearForecastNonConsolidatedNetSales,NextYearForecastNonConsolidatedOperatingProfit,NextYearForecastNonConsolidatedOrdinaryProfit,NextYearForecastNonConsolidatedProfit,NextYearForecastNonConsolidatedEarningsPerShare,Code
2022-07-27 00:00:00+09:00,09:00:00,40430,20220707596327,1QFinancialStatements_Consolidated_JP,1Q,2022-04-01,2022-06-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,84017000000,5108000000,7109000000,4482000000,62.29,,455661000000,235725000000,0.499,3161.97,,,,,,,,,,,,,,35.0,,35.0,70.0,,,,,,,,,,,,,,,,,,,,,360000000000,24500000000,25000000000,17500000000,243.22,,,,,,false,false,false,false,false,72088327,137090,71951164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4043
2022-07-27 00:00:00+09:00,15:00:00,40630,20220726504671,1QFinancialStatements_Consolidated_JP,1Q,2022-04-01,2022-06-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,656707000000,249620000000,262633000000,184124000000,446.28,445.98,4173111000000,3532947000000,0.818,8333.36,,,,,,,,,,,,,,225.0,,225.0,450.0,,,,,,,,,,,,,,,,,,,,,2550000000000,825000000000,840000000000,588000000000,1432.59,,,,,,false,true,false,false,false,416662793,6926727,412574246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4063
2022-07-27 00:00:00+09:00,15:30:00,46260,20220726504654,1QFinancialStatements_Consolidated_JP,1Q,2022-04-01,2022-06-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,25757000000,5335000000,5119000000,3619000000,64.47,,191138000000,89337000000,0.467,1591.02,,,,,,,,,,,,,,37.0,,37.0,74.0,,,,,,,,,,,55600000000,10400000000,10400000000,7200000000,128.23,,,,,,109400000000,19000000000,18800000000,12800000000,227.96,,,,,,false,true,false,false,false,58083128,1933125,56149673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4626
2022-07-27 00:00:00+09:00,15:30:00,77350,20220726505051,1QFinancialStatements_Consolidated_JP,1Q,2022-04-01,2022-06-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,101826000000,17849000000,18206000000,16091000000,343.56,326.57,472518000000,260894000000,0.552,,29269000000,1739000000,-19350000000,145925000000,,,,,,,,,,,,322.0,322.0,,,,,,,,,,,215000000000,34500000000,33500000000,26000000000,551.79,,,,,,460000000000,74500000000,73000000000,50000000000,1058.01,,,,,,false,false,false,false,false,50794866,3396297,46837735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7735
2022-07-27 00:00:00+09:00,15:30:00,27600,20220727505561,1QFinancialStatements_Consolidated_JP,1Q,2022-04-01,2022-06-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,50677000000,2957000000,2160000000,1479000000,149.44,,116584000000,32924000000,0.273,,-3130000000,46000000,2273000000,4313000000,,,,,,,,,,105.0,,135.0,240.0,,,,,,,,,,,94500000000,,3650000000,2540000000,256.61,,,,,,200000000000,,8500000000,5900000000,596.07,,,,,,false,false,false,false,false,10445500,536966,9903372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2760
2022-07-28 00:00:00+09:00,14:00:00,49800,20220728506473,1QFinancialStatements_Consolidated_JP,1Q,2022-04-01,2022-06-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,26775000000,8347000000,7260000000,4664000000,78.13,77.69,118712000000,63976000000,0.535,1076.72,,,,,,,,,,,,,,30.0,,35.0,65.0,,,,,,,,,,,,,,,,,,,,,110000000000,31000000000,29600000000,20000000000,329.48,,,,,,false,true,false,false,false,64519400,5503329,59702350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4980
2022-07-28 00:00:00+09:00,15:00:00,67230,20220727505990,2QFinancialStatements_Consolidated_IFRS,2Q,2022-01-01,2022-06-30 00:00:00+09:00,2022-01-01 00:00:00+09:00,2022-12-31 00:00:00+09:00,,,722908000000,210005000000,,110437000000,56.96,55.82,2858842000000,1467728000000,0.512,,228303000000,-49813000000,-181242000000,247854000000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,,1952747173,168069831,1938971343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6723
2022-07-28 00:00:00+09:00,15:00:00,68570,20220727505700,1QFinancialStatements_Consolidated_IFRS,1Q,2022-04-01,2022-06-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,135943000000,44783000000,,36496000000,192.14,191.34,531098000000,327879000000,0.617,,4008000000,-4285000000,-13689000000,107471000000,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,550000000000,170000000000,,130000000000,,,,,,,false,false,false,false,,199542265,9373394,189943510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6857
2022-07-29 00:00:00+09:00,15:00:00,41860,20220725504265,EarnForecastRevision,2Q,2022-01-01,2022-06-30 00:00:00+09:00,2022-01-01 00:00:00+09:00,2022-12-31 00:00:00+09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84700000000,14800000000,15300000000,9700000000,241.33,,,,,,171800000000,30000000000,31000000000,20400000000,506.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4186
2022-07-29 00:00:00+09:00,15:00:00,67580,20220729507341,1QFinancialStatements_Consolidated_IFRS,1Q,2022-04-01,2022-06-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,2311494000000,306963000000,,218196000000,176.46,175.21,30374896000000,6972228000000,0.228,,-430018000000,-315057000000,-29977000000,1371867000000,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,11500000000000,1110000000000,,800000000000,,,,,,,false,false,false,false,,1261081781,24606610,1236488860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6758
